Site ID	Site Name	Parameter	Recorded Date	Aggregated Value	Units	No of Records	Data Source	Status	Quality Description
18593	LAKE HANNA	"Rainfall, total"	9/15/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/16/14	0.24	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/17/14	0.82	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/18/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/19/14	1.37	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/20/14	0.07	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/21/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/22/14	0.34	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/23/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/24/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/25/14	0.02	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/26/14	0.18	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/27/14	2.25	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/28/14	0.8	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/29/14	1.44	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	9/30/14	0.31	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/1/14	0.11	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/2/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/3/14	0.53	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/4/14	1.23	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/5/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/6/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/7/14	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/8/14	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/9/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/10/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/11/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/12/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/13/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/14/14	0.8	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/15/14	0.24	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/16/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/17/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/18/14	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/19/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/20/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/21/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/22/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/23/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/24/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/25/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/26/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/27/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/28/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/29/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/30/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	10/31/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/1/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/2/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/3/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/4/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/5/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/6/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/7/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/8/14	0.26	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/9/14	0.25	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/10/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/11/14	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/12/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/13/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/14/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/15/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/16/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/17/14	1.16	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/18/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/19/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/20/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/21/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/22/14	0.09	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/23/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/24/14	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/25/14	4.27	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	11/26/14	0.26	In.	96	District- 15 minute	Approved	Good Continuous Records
